id_str,created_at,retweeted_status.user.screen_name,text,entities.user_mentions.0.screen_name,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.urls.0.url,entities.media.0.media_url,retweet_count
643462063927504896,Mon Sep 14 16:31:25 +0000 2015,UNICEFmena,"RT @UNICEFmena: 1st grader waits for her turn in school bags distribution at school in #Damascus 
©UNICEF/Razan Rashidi http://t.co/2vtPdFM…",UNICEFmena,Damascus,"","","",http://pbs.twimg.com/media/CO3CWvLVEAAHe_U.jpg,94
643461988895449088,Mon Sep 14 16:31:07 +0000 2015,"",.@UN urges Pacific Islanders &amp; governments to prepare for a looming El Niño emergency http://t.co/VEttnymXZP @UNICEFmedia,UN,"","","",http://t.co/VEttnymXZP,"",77
643456937368125440,Mon Sep 14 16:11:03 +0000 2015,UNICEFiraq,RT @UNICEFiraq: UNICEF-supported 'Kids Giving Hope to Kids' programme in #Iraq connects children in conflict zones through art. http://t.co…,UNICEFiraq,Iraq,"","","",http://pbs.twimg.com/ext_tw_video_thumb/643341720118263809/pu/img/JwyNslO295Y6t0LC.jpg,104
643452336795484160,Mon Sep 14 15:52:46 +0000 2015,"",".@UN: Asia-Pacific region has made significant progress to eliminate #HIV &amp; syphilis, but more needs to be done http://t.co/RuXzHJwzuq",UN,HIV,"","",http://t.co/RuXzHJwzuq,"",63
643443990533115904,Mon Sep 14 15:19:36 +0000 2015,"",Finalists selected in our global #wearablesforgood design challenge http://t.co/Ii3kY3BfFK @UNICEFInnovate,UNICEFinnovate,wearablesforgood,"","",http://t.co/Ii3kY3BfFK,"",55
643424985088815104,Mon Sep 14 14:04:05 +0000 2015,"","Ibrahim, 10, does his homework in a temporary caravan http://t.co/zhziKS3UVa @UNICEFpalestine http://t.co/U6fwJXbnZT",UNICEFpalestine,"","","",http://t.co/zhziKS3UVa,http://pbs.twimg.com/media/COp0T-GW8AA6V1Z.jpg,109
643412655185616896,Mon Sep 14 13:15:05 +0000 2015,"","“I’m just trying to collect what I can carry for my mother” Abdulstar, displaced in Sa'ada, #Yemen. @UNICEF_Yemen http://t.co/SXJj8vAtn2",UNICEF_Yemen,Yemen,"","","",http://pbs.twimg.com/media/COpvkCZWsAAnIw6.jpg,148
643386489787645953,Mon Sep 14 11:31:07 +0000 2015,"","In Sub-Saharan Africa, 1 child in 12 dies before age 5. In high income countries it’s 1 in 147 http://t.co/D9eWqk8xO6  #Promise4Children","",Promise4Children,"","",http://t.co/D9eWqk8xO6,"",117
643348727353077761,Mon Sep 14 09:01:04 +0000 2015,"","""When I grow up, I want to be an engineer &amp; make fine cars."" Abu, 10, #SierraLeone. @UNICEFSL http://t.co/yx4CXaH2Dv",UNICEFSL,SierraLeone,"","","",http://pbs.twimg.com/media/COprmumWIAAtW1t.jpg,196
643303439418593281,Mon Sep 14 06:01:06 +0000 2015,"",Since 2000 lives of nearly 50m children under 5 have been saved http://t.co/D9eWqk8xO6 http://t.co/xiFFJtOAOX,"","","","",http://t.co/D9eWqk8xO6,http://pbs.twimg.com/media/COprWvOWEAIxbLC.jpg,195
