name,twitter,followers,followees,location,link,ratio
Barack Obama,@BarackObama,64702996,639832,"Washington, DC",https://twitter.com/BarackObama,101.12497655634604
UNICEF,@UNICEF,4714963,25115,United Nations,https://twitter.com/UNICEF,187.73493927931514
DJ KING ASSASSIN,@DjKingAssassin,4244378,2345810,"Live From Compton, CA ",https://twitter.com/DjKingAssassin,1.8093443202987454
Kevin Rudd,@MrKRudd,1595552,410443,Australia,https://twitter.com/MrKRudd,3.8873899664508835
NelsonMandela,@NelsonMandela,1186666,23129,"Houghton, South Africa",https://twitter.com/NelsonMandela,51.306411863893814
Lil B THE BASEDGOD,@LILBTHEBASEDGOD,1167915,1284233,United States,https://twitter.com/LILBTHEBASEDGOD,0.9094260932400896
Lord Louis Gilbert,@LordLouis3,993917,564284,,https://twitter.com/LordLouis3,1.7613772497536702
Jonah Lupton,@JonahLupton,917745,988425,,https://twitter.com/JonahLupton,0.928492298353441
@NonprofitOrgs,@nonprofitorgs,803168,259664,"St. Louis, Missouri",https://twitter.com/nonprofitorgs,3.093104935609095
Julia Gillard,@JuliaGillard,671614,191322,Australia,https://twitter.com/JuliaGillard,3.5103856325984464
Taye Diggs,@TayeDiggs,550998,531591,"Los Angeles, CA",https://twitter.com/TayeDiggs,1.0365073900799675
EMERGENCY ONG/Onlus,@emergency_ong,479850,5419,"Italy, HQ",https://twitter.com/emergency_ong,88.54954788706404
Nature Conservancy,@nature_org,467724,32321,"T: 38.883103,-77.110875",https://twitter.com/nature_org,14.471210667986758
Vincent Boucher ,@ceobillionaire,463236,312301,Montreal | NYC | Paris ,https://twitter.com/ceobillionaire,1.483299765290537
Malcolm Turnbull,@TurnbullMalcolm,453826,4483,"Sydney, NSW, Australia",https://twitter.com/TurnbullMalcolm,101.2326567031006
Planeta Voluntrios,@Pla_voluntario,372297,182623,Global,https://twitter.com/Pla_voluntario,2.038609594629373
National Wildlife,@NWF,372244,41644,"Washington, DC",https://twitter.com/NWF,8.938718662952645
Sunrise,@sunriseon7,353237,29579,Sydney,https://twitter.com/sunriseon7,11.942154907197674
Guardian Environment,@guardianeco,345161,8229,"London, UK",https://twitter.com/guardianeco,41.9444646980192
Cadel Evans,@CadelOfficial,327930,304,Australia/Switzerland,https://twitter.com/CadelOfficial,1078.717105263158
KarenJeanMatsko Hood,@KarenJeanHood,327622,298648,"Spokane, Washington USA",https://twitter.com/KarenJeanHood,1.0970172242908038
hashtags,@hashtags,319531,73592,"Chicago, IL",https://twitter.com/hashtags,4.341925752799217
