name,# followers,followees,location,link,ratio
@BarackObama,64826646,639775,"Washington, DC",https://twitter.com/BarackObama,101.32725723887305
@UNICEF,4728744,25114,United Nations,https://twitter.com/UNICEF,188.29115234530542
@DjKingAssassin,4284962,2429471,"Live From Compton, CA ",https://twitter.com/DjKingAssassin,1.763742806561593
@MrKRudd,1596745,410375,Australia,https://twitter.com/MrKRudd,3.890941212305818
@NelsonMandela,1188586,23157,"Houghton, South Africa",https://twitter.com/NelsonMandela,51.32728764520447
@LILBTHEBASEDGOD,1170478,1284118,United States,https://twitter.com/LILBTHEBASEDGOD,0.9115034599624022
@LordLouis3,993988,566852,,https://twitter.com/LordLouis3,1.7535229654301299
@JonahLupton,917472,990058,,https://twitter.com/JonahLupton,0.9266851032969785
@nonprofitorgs,803590,259924,"St. Louis, Missouri",https://twitter.com/nonprofitorgs,3.091634477770425
@JuliaGillard,673157,191298,Australia,https://twitter.com/JuliaGillard,3.518891990506958
@TayeDiggs,552352,535854,"Los Angeles, CA",https://twitter.com/TayeDiggs,1.0307882370944323
@emergency_ong,480937,5419,"Italy, HQ",https://twitter.com/emergency_ong,88.75013840191917
@nature_org,468667,32318,"T: 38.883103,-77.110875",https://twitter.com/nature_org,14.501732780493843
@ceobillionaire,462833,314790,Montreal | NYC | Paris ,https://twitter.com/ceobillionaire,1.4702913053146542
@TurnbullMalcolm,456998,4482,"Sydney, NSW, Australia",https://twitter.com/TurnbullMalcolm,101.96296296296296
@NWF,373152,41638,"Washington, DC",https://twitter.com/NWF,8.961813727844758
@Pla_voluntario,372201,182610,Global,https://twitter.com/Pla_voluntario,2.03822901264991
@sunriseon7,355152,29576,Sydney,https://twitter.com/sunriseon7,12.008114687584529
@guardianeco,345839,8229,"London, UK",https://twitter.com/guardianeco,42.026856240126385
@CadelOfficial,328027,304,Australia/Switzerland,https://twitter.com/CadelOfficial,1079.0361842105262
@KarenJeanHood,327679,300393,"Spokane, Washington USA",https://twitter.com/KarenJeanHood,1.090834340347478
@hashtags,319488,73583,"Chicago, IL",https://twitter.com/hashtags,4.341872443363277
@gregnazvanov,318112,254889,Sydney,https://twitter.com/gregnazvanov,1.2480413042540086
@fredo_prince,282058,12138,Tommy and Chrissy Pistone,https://twitter.com/fredo_prince,23.23760092272203
@350,253469,19515,Everywhere,https://twitter.com/350,12.988419164745068
@OnGood,246591,1035,To the right of the dot ;),https://twitter.com/OnGood,238.2521739130435
@ClimateReality,235205,3162,"Washington, D.C. ",https://twitter.com/ClimateReality,74.38488298545225
@Oceana,229434,1805,Global,https://twitter.com/Oceana,127.11024930747922
@jahrends,228034,14696,"iPhone: 33.003479,-96.992584",https://twitter.com/jahrends,15.516739248775178
@SocialGoodList,197601,1278,Worldwide,https://twitter.com/SocialGoodList,154.61737089201878
@Spichael1964,190429,38097,"Gloucester, UK",https://twitter.com/Spichael1964,4.998530067984356
@baratunde,175251,10340,"Brooklyn, NY",https://twitter.com/baratunde,16.948839458413925
@NSPCC,173300,3668,UK,https://twitter.com/NSPCC,47.24645583424209
@Philanthropy,171387,3150,"Washington, D.C.",https://twitter.com/Philanthropy,54.40857142857143
@britektire,170396,31523,Denver Colorado,https://twitter.com/britektire,5.405449988896996
@theburiedlife,170014,15683,,https://twitter.com/theburiedlife,10.840655486832876
@mqtodd,168604,91790,"Tokyo, Japan",https://twitter.com/mqtodd,1.836844972219196
@socialmediaclub,164977,73544,,https://twitter.com/socialmediaclub,2.2432421407592735
@NordenBladet,161616,48748,Serving Nordic countries,https://twitter.com/NordenBladet,3.315336013785181
@PolarBearTrust,147689,28809,International,https://twitter.com/PolarBearTrust,5.12648825019959
@GayeCrispin,145506,11820,Sydney AU,https://twitter.com/GayeCrispin,12.310152284263959
@EnviroNewsTV,145158,77958,USA,https://twitter.com/EnviroNewsTV,1.862002616793658
@earthhour,142720,1232,Global,https://twitter.com/earthhour,115.84415584415585
@wwwfoecouk,142483,10136,"London, UK",https://twitter.com/wwwfoecouk,14.057123125493291
@TechPayout,141611,124034,United States,https://twitter.com/TechPayout,1.1417111437186578
@DavidSuzukiFDN,139022,11199,Canada,https://twitter.com/DavidSuzukiFDN,12.41378694526297
@SoPlacers,138005,90932,"Kuala Lumpur, Malaysia",https://twitter.com/SoPlacers,1.5176725465182774
@earthoutreach,134105,1592,"Mountain View, California, USA",https://twitter.com/earthoutreach,84.23680904522612
@RnfrstAlliance,130791,9424,"New York, NY",https://twitter.com/RnfrstAlliance,13.878501697792869
@sitepointdotcom,129493,43684,"Melbourne, Australia",https://twitter.com/sitepointdotcom,2.964311876201813
@richiekawamoto,128962,86675,"Seattle, WA",https://twitter.com/richiekawamoto,1.4878800115373523
@Bensonix,127784,121024,Leeds,https://twitter.com/Bensonix,1.0558566895822317
