name,# tweets retweeted,# followers,last tweet retweeted
@parksmovement,30,276,RT @AusConservation: Two former SA senators giving evidence now to Committee in Adelaide #DefendEnviroOrgs
@DrRimmer,26,8807,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@FoEAustralia,24,9563,RT @AusConservation: Whitehaven Coal tells #HoR inquiry of its own political campaigning with @MineralsCouncil #DefendEnviroOrgs #auspol
@CounterActOz,22,1021,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@enviroaus,18,65,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@AusBackwards,14,80,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@wannoncan,13,84,RT @AusConservation: We are not going to get an agreement in Paris that is in line with what the science says we need @NaomiAKlein @MelbWri
@MareeTreadwellK,13,873,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@csrlagos,12,158,RT @AusConservation: Tweets from House of Reps inquiry into environment groups Adelaide hearing to follow... https://t.co/XpOQQZCgfD #Defen
@CloudsCreek,12,2801,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@traceywithhope,11,1757,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
@JoelRDodd,10,519,"RT @AusConservation: With a big El Nio coming &amp; predictions of a bad bushfire season, the govt should look to safeguard our future from cl"
@Evidentiary1,10,2101,"RT @AusConservation: We undertake ""on ground"", ""in ground"", ""underground"" and ""on water"" work: @PiersVerstegen @ConservationWA #DefendEnvir"
@simone,10,2447,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@Pete_Burdon,9,3936,RT @AusConservation: We've been audited twice in the last year and passed both says @Cam_Walker from @FoEAustralia #DefendEnviroOrgs
@KellyaAndrew,9,890,RT @AusConservation: You cant even knock on the door of philanthropy without DGR status says Jonathan Duddles from @GreeningAust #DefendEn
@kellyoshanassy,9,1572,"RT @AusConservation: Vast areas of eastern, southern and western Australia set to experience worse than normal summer bushfire conditions h"
@mrleewhitfield,9,40,RT @AusConservation: Renewed calls for WA Forest Products Commission to lose 'controlled wood' accreditation over karri logging: http://t.c
@BluegumPilliga,8,623,RT @AusConservation: Politicians can spin it any which way but polls show Australians don't swallow mining industry propaganda #freekaren #
@karenagold,8,321,RT @AusConservation: We need to talk about climate change as a profound moral crisis @NaomiAKlein @MelbWritersFest
@timbrown13,8,220,"RT @AusConservation: These Kiribati youth remain deeply unhappy about Peter Dutton's rising sea levels ""joke"" #ourstruggleisreal #climate h"
@enviro_al,8,311,"RT @AusConservation: Walking should be the default mode of travel in the city, writes Matthew Trigg in http://t.co/nJt0ObrScn @Trigg #Sydney"
@mcctrace,7,30,RT @AusConservation: What a great quote from @ConservationWA director and @AusConservation councillor @PiersVerstegen! https://t.co/f2hm7zD
@Aitch_El,7,1699,RT @AusConservation: http://t.co/t5F5d6oHIu http://t.co/a5T1Pv7wnN
@sarahrees,7,1207,"RT @AusConservation: WATCH THIS VIDEO and join us at Vic Parliament lunchtime Monday, as the inquiry into environment groups meets inside h"
@L_DeWeaver,6,2348,"RT @AusConservation: With a big El Nio coming &amp; predictions of a bad bushfire season, the govt should look to safeguard our future from cl"
@tlightly1,6,3641,"RT @AusConservation: The @MineralsCouncil up now at inquiry into environment groups in Canberra, appearing alongside Whitehaven Coal #Defen"
